Date ,Time,Location ,Task ,Sonde in Place Now,Sonde Replacement Time,Current Deployment,Depth measurment (m),Notes
5/23/18,12:30:00 PM,RCB,Switch out sonde 2 to 1,1,1:42,RCB_D9,0.94,"Water was fairly turbid but at normal level, single point drift check was done at 12:57, when sonde was pulled out we noticed a small flathead catfish in the bottom of the sonde guard, the fish fell out for the sxs drift check, in the sxs drift check the calibrated sonde was on the right of the pipe and the field one on the left, after the drift checks Logan cleaned the field sonde while i calibrated the depth on the calibrated sonde by placing it in the pipe and putting the offset at 0.94m, then the copper guard was wrapped in gorilla tape like we had done at greenup to try and keep fish out, the sonde was back in and set to take its first sample at 13:42, the torch and sonde were relatively close on the chlorophyll readings but still likely significantly different, Logan expressed no issues doing his work, Logan present"
6/20/18,10:00:00 AM,RCB,Switch out sonde 1 to 3 ,3,12:30,RCB_D9,1.143,"Water was clear, spent the first hour trying to figure out what is wrong with the data logger, it had not been sending data since 6/14, was on the phone with tec support for 40mins trying all kinds of stuff, nothing seemed to work, logger had a problem waking up, reached the verdict with tec support that it would just have to be sent in to inspect, also discussed with them hooking up all the other sensor in which they are supposed to be looking into the power options for me, Logan and i removed the data logger and solar panel, all this was done before even going down to the sonde, the field sonde was drift checked at 11:42 after just missing the 11:27 reading, when field sonde was removed i noticed a small flathead catfish in the guard yet again, the pipe was cleaned and the calibrated sonde calibrated in the pipe at 1.143m for depth, the copper guard was wrapped again but with an additional strand on the bottom holes, the field sonde was placed in pipe with the usual safety cable and an additional one i added attached to the safety chain for the hand rail, the sampling mode was set to normal since no data logger would be used, Logan seem to get his samples without problems, Logan present"
7/26/18,1:00:00 PM,RCB,Switch out sonde 3 to 2 and reinstall datalogger,2,2:00,RCB_D11,1.27,"Water was fairly normal,  a few passing barges locking through making it turbid, first completed drift check, we removing field sonde there was a small flathead in the guard, the field sonde was the dirtiest I have ever seen, was measured 50"" on the pipe, logan had pretty much finished his tasks by this time, next we remounted the data logger which went smoothly back into place, we didn't have any zip ties to secure the extra flying lead cable but i managed to coil it to the safety cable, the cables were ran to the sonde which was then calibrated at 1.27 meters in the pipe as the tape measure indicated, it was then removed and Logan hooked it all up in prep for deployment after i set up the template, i rushed up to get on the hotspot before 2:00 to see it the datalogger was comunicating which it was but the readings were way off, upon arriving back at the office the reading by 15:00 were fine though, must just not had enough time, we picked up everything and left by 2:15, Logan present"
8/3/18,2:00:00 PM,RCB,REU Site visit,2,N/A,RCB_D11,N/A,"Simple site visit to show the REU studnets the site, Logan drove up in the van with all of us, 6 students, myself, Logan, and John May, talked alittle about the site and the Ohio River, also cleaned the pipe, Logan got some grab samples"
8/22/18,1:30:00 PM,RCB,Switch out sonde 2 to 1 and install PAR sensor,1,2:15,RCB_D12,1.275,"Site conditions were normal, first time I took Cody with me, we didn't really know what grab samples Logan normally got but Cody took 3x500ml grab samples and a few readings with the torch, the sonde drift check was performed as normal at 1:45 and the pipe and everything else with the sonde was carried out as normal, when hooking up the new sonde i did notice the red light on the sonde was blinking rather rapidly (once every second or so) i found it odd because i thought it only blinked once every 10secs or so like the DCP adaptor, i may have not paid that much attention before, running the sonde autonomously without a data logger it often blinks just once every ten seconds and only rapidly when taking a reading, i checked it before we left and it was still blinking rapidly but everything seems to be working fine as of 8/23/18, after completing the sonde tasks Cody and i installed the Li-cor PAR sensor, we had stopped at HomeDepot on the way to get supplies, It was mounted to the hand rail right next to the data logger, we ran the wires through the vent fitting on the left side bottom facing the logger, everything seemed to go rather smooth but was time consuming, no major notes worth making, all probes were calibrated the day before except conductivity, Cody S present"
8/24/17,9:00:00 AM,Greenup,"Install of Equipment: Not completed, dropped pipe",N/A,N/A,N/A,,"Went to move housing PVC from the side of the bull nose to behind the platform and dropped it, left the datalogger there already mounted -Logan present "
8/25/17,11:00:00 AM,Greenup,Finish install of Equipment ,1,12:30,GD_D1,,Finished install -Caleb present 
9/22/17,11:30:00 AM,Greenup,Switch out sonde 1 to 3 ,3,11:50,GD_D2,,"Sonde in place was very muddy but optics were clean, a calibration check was taken with the new sonde for the 11:42 reading, sonde 3 was place along the wall on the close side of the PVC pipe at approximately the same depth (but not sure exactly), the probes were in the same order but new sonde and plug in port 1 and sonde in place had it in port 6 (they were all simply rotated one port over), Josh cleaned the pipe with brush, new sonde 3 connected for the 11:57 reading although not likely in pipe yet "
10/20/17,12:00:00 PM,Greenup,Switch out sonde 3 to 2,2,12:30,GD_D3,,"Sonde wasn't too dirty, drift checked at 11:57, missed the 11:42 one, sonde was switched out by 12:27 but may not have been in the water in time, accurate readings should be considered no earlier than 1:00, Josh and Hunter present "
11/17/17,10:30:00 AM,Greenup,Switch out sonde 2 to 1,1,10:45,GD_D4,,"Sonde was rather clean, there was a small war mouth sunfish in the bottom of the guard, don’t know how long it has been there, drift check was done for the 10:27 reading, sonde 2 was still set to -4UTC during drift check, everything went smooth and quick, it was cold outside, Josh present "
12/14/17,1:30:00 PM,Greenup,Switch out sonde 1 to 3 ,3,2:30,GD_D5,,"Sonde in place now (3) was not calibrated for conductivity and the turbidity probe was taken from sonde 1 and put on sonde 3, we are out of reagents for turbidity and conductivity probes, during the drift check there was almost no difference in the conductivity therefore i left that one on sonde 3 but turbidity was different therefore i took the probe off 1 and put it on 3 since it was calibrated most recent, the water was clear and cool, this was the first time we tried the new drift check method i proposed, sonde 1 was rather clean which may indicate they can stay in longer during the winter although waiting to run drift check stats, josh present"
3/15/18,1:00:00 PM,Greenup,Switch out sonde 3 to 2,2,1:45,GD_D6,,"First time back out to Greenup in a few months, sonde stopped working on 1/19/2018 at 9:00 on the data logger and 1/18/2018 on the sondes own internal memory, the data logger kept repeating the same last reading since 1/19, logan worked on getting grab samples for chlorophyll analysis, i did the sxs drift checks though the sonde in place didn't take a reading and then when trying to run them together the field sonde wouldn't work and seemed froze up (the wiper wouldn't wipe and the lenses were completely biofouled), i subjectively think any reading past 1/18 should not be considered true, the dcp adapter was blinking red when i first looked at it and then when leaving but it may have been in the middle of a sampling event, we were walking back at 2:18, Logan present "
4/12/18,11:30:00 AM,Greenup,Swtich out sonde 2 to 1,1,12:00,GD_D7,,"All drift check measurements were taken both the single sample and the sxs, Logan got all of his grab samples, everything went by the textbook with no real hicups, i did wrap gorilla tap around the sonde guard in thin strings of 2 around each set of hole (4 strings total) in order to try and keep fish out of the sone guard, the new sonde was in place by noon, Logan present "
5/15/18,11:30:00 AM,Greenup,Switch out sonde 1 to 3 ,3,12:00,GD_D8,,"A lot of algae growth on the lock wall where pipe is mounted, also there were turbid plumes in the water that caused inconsistencies when viewed from the wall, they were obvious and not suddle in the least, the field sonde was also extremely muddy but there were no obstructions in site such as fish therefore the tape around the guard must have helped some, the tape was left on for sonde 3, I thought i had some problems saving the drift data as i orignally had it set on single sample instead of cache but changing it to cache retrieve the previous data so i didn't have to wait until the next quarter for the single sample, Logan got his work done sufficiently quick, there was nearly 100% difference between the torch and sonde readings for chlorophyll and phycocianin, also there seemed to be a significant difference between the place where the sonde is mounted and along the wall where i originally mounted it, could be an eddie effect, no real problems occured, the sonde in place now was not calibrated for conductivity, Logan present "
6/14/18,11:15:00 AM,Greenup,Switch out sonde 3 to 2,2,12:00,GD_D9,~1.4,"Water was fairly turbid , normal level, lots of carp along the wall and one near the sonde, decsion was made to stop doing the sxs drift check as it yielded similar results as the single sample and didn't truly represent the drift caused by biofouling inside the pipe since the field sonde had to be removed in order to run, planned to take the data logger with us to study on how to connect suna and cycle up but forgot tools to take off solar panel and lock gates were open making the walk too long to carry plus we were already loaded down, measured that the GJ writing close to the wall is approximately 2m from the bottom of the sonde so i measured 60cm to the water and approximated it at 1.4m deep, forgot to calibrate the sonde at that depth, the single sample drift check was taken at 11:27, the sonde was in the water way before that so therre was more than enough time to aclimate since we just missed the 11:12 reading, the sonde and torch were nearly 100% different readings the sonde near 2 and the torch about 4ug/L, over all it was rough day forgetting everything, it was hot out and a very long walk, logan got his stuff done quick, sonde in place now was also not calibrated for conductivity since May 28th -Logan present "
7/12/18,11:30:00 AM,Greenup,Switch out sonde 2 to 1,1,12:15,GD_D10,~1,"Water was turbid on the side of the wall holding the sonde, it was a noticable plume of turbid water, upon single point drift check the calibrated sonde seemed to have problems with the algae probe, it kept reading significantly negative, it was fully calibrated the day before, after pulling the probe out and putting it back in it seemed to work fine, before the LED's of the probe weren't even flashing but unplug and then plugging it back in seemed to make it work fine, the sinlge point drift check was done at 11:42, the PVC holding pipe was moved upward to be at approximately a meter using the sensor, the sensor was recalibrated with a .21 offset and then stuck in the pipe to make sure we were at about a meter, we used the tape on the field cable to approximate first, then a third clamp was added between the two holding the pipe to the wall, the copper guard was cleaned and put on the calibrated sonde while i setup the deployment, the algal torch readings and the sonde were way of (~4 compared to 10 respectively), it was hard getting the cap on since i moved the pipe but i got it on, the data logger looked fine, we also measured the wall which seemed to be 25 degrees off the vertical which is too much for the hydrocycle, Logan present"
8/9/18,11:30:00 AM,Greenup,Switch out sonde 1 to 3 ,3,12:00,GD_D11,,"Site was around normal conditions, drift check was performed at 11:42, the oxygen was off for the first time, it evenutally settled into the same range the field sonde was in within a few hours after being install, must have been an air bubble maybe or something throwing off the reading, all the normal procedures were performed, cleaning the tube etc., nothing was very note worth except this time Daniel went instead of Logan since Logan was with the REU's, there was no algal torch reading since we didn't have it, Daniel got a few grab samples, the calibrated sond was in place by the 12:12 reading, everything went smooth but the oxygen probe being off is rather intreging and doesn't seem quite right, Daniel present "
9/5/18,12:30:00 PM,Greenup,Switch out sonde 3 to 2 and install PAR sensor,2,1:00,GD_D12,,"Normal site conditions, the calibrated sonde was not calibrated for turbidity, conductivity, or pH as a result of lack of solutions, the calibrated sonde was checked and read -0.01NTU in DI and 6.97 pH in pH7 for refference, conductivity was not noted, Cody first began on installing the PAR sensor since he did the one at the RCB with me, he used the mount I made for the top of the datalogger pipe, we first discussed problems with shad by a near by pole but figure we will be able to see the trend in the data so thats definitely something to look for, Logan and I went down to the platform to do our normal tasks, there was alot of fish fry surrounding the platform, i performed the drift check at 11:42, Logan mentioned he was making the decision to not do some sort of measurement with the torch anymore (i can't remember if it was a bucket read or what), Logan pulled the field sonde and cleaned the pipe while i set up the deployment on the calibrated one, Cody was finishing up the PAR sensor about this time, we got everything switched out as normal and everything seemed to conclude very smoothly, upon returning to the office i added the Licor sensor to iChart but it wasn't added to WQ datalive until the next day as i forgot i had to add it there, Cody and Logan were present"
10/3/18,12:15:00 PM,Greenup,Switch out sonde 2 to 1,1,1:00,GD_D13,,"Water was turbid, drift check done at 12:27, put the pH probe from the field deployed sonde onto the calibrated sonde as the pH probe appeared to be spent the day before during calibration, the pH probe on the field deployed sonde didn't show any obvious signs to drift from viewing the data and was cleaned, everything else went as usual, cody did all the grab sampling stuff, there was normal amount of debris on the field sonde and optics were clean, the new deployment was set up for 12:57 and was in place around that time, nothing out of the oridinary to note other that the pH probe, Cody present "
10/31/18,12:00:00 PM,Greenup,Switch out sonde 1 to 3 ,3,12:45,GD_D14,,"Water was flowing fairly hard from wind current on the surface, just missed the 12:12 drift check as the computer was having problems, drift check was at 12:27, field sonde had a small crawfish in the sonde guard upon removal, calibrated sonde was set up while Cody cleaned the pipe, copper sonde guard had a bit of rust on the bottom from the stop bolt i presume in the pipe which was cleaned off, calibrated sonde was deployed for 12:42 i believe or 57. not sure, when trying to get the data off the field sonde it threw an error code and was no longer showing a deployment, something must have tripped it when removing it from the pipe, all reading were accounted for until that point and the GD_D13 deployment file was there, still investigating today 11/1 into whats wrong with the sonde as it still isn't wanting to show any readings, All probes on the calibrated sonde were calibrated though turbidity and conductivity were the week before with the USC sonde, Cody also cleaned off the PAR sensor a bit, no other real not worthy events, Cody present "
11/29/18,11:30:00 AM,Greenup,Switch out sonde 3 to 2,2,12:00,GD_D15,,"All probes except conductivity were calibrated the pH and Turbidity were done the previous week with the USC Fourpole sonde on 11/20, then the o2 and chlorophyll were done on 11/27, the conductivity only had one deployment on its last calibration and was in spec so no need to calibrate, it was cold out at the site, water wasn't too turbid but was flowing pretty hard and the workers had suggested they were busy with barge traffic today, made it out to drift check at 11:57, had some connection problems from the calibrated sonde that seemed to be coming from the adaptor where the usb cord plugs in, got it ressolved and it worked fine, field sonde wasn't too dirty at all, no real debris in the guard although there was some sediment, everything was cleaned and the calibrated sonde deployed, cody left a bucket there, nothing of his seemed problematic, no other site note worthy moments, upon data entry i changed the time at 11/4 @ 2am for the end of daylight saving, i left the raw transferred data alone, drift check comparison and all was done 11/29, cody present for field work"
12/28/18,11:30:00 AM,Greenup,Switch out sonde 2 to 1,1,12:15,GD_D16,,"All probes calibrated a week prior on 12/20/18 except the conductivity probe which only had one prior deployment (cal 11/13), turbidity and pH were done with the USC sonde that day, the river had been up since the time of calibration until 12/28 when we finally made it out to deploy, the water was relatively high and the current was fairly strong, unpon first arriving i hooked a battery tender to the jump box and then to the battery to charge it up some, the multimeter read 11.6V, the data logger has not been sending data since 12/20 so i figured the battery is low which still may be the case as i think the modem won't turn back on after dropping below 11V until it hist 12V, i then went down and did the drift check at 11:57, turn using my hot spot tried to iterrogate the datalogger at 12:03 and still no luck, it started to sprinkle at this point so i started using the handheld where i calibrated the wiper and depth as they weren't done before heading out, the rain subsided and i was able to use the laptop to set up the deployment, first reading was set for 12:12, Logan cleaned the pipe and unhooked the field sonde, i hooked up the calibrated sonde and deployed it, when putting the cap back on i notice the pipe wasn't that tight so may need to put some more bands around it next time, i added another zip tie just in case, i then took the field sonde and stopped the deployement and transferred the data and took a quick look at it, it had been taking samples past the 20th so the sample and hold feature seemed to be working fine, packed everything up and went to go look at the data logger, it was still only at 11.6V but i began to sprinkle again so there wasn't any time to really just let it charge, i unhooked the battery tender and unplugged and rehooked up the battery in order to reset it, logan got a torch reading and grab samples, no problems were addressed on his part, no other note worthy occurences, Logan present "
3/7/18,11:00:00 AM,Greenup,Switch out sonde 1 to 3 ,3,11:45,GD_D17,,"Was injured see Logan Beach for details, day of switch seems to be the 7th though the deployment lasted until the 14th "
5/8/18,11:00:00 AM,Greenup,Swtich out sonde 3 to 1 ,1,12:00,GD_D18,,"All probes calibrated the previous day, drift check was done at approximately 11:30, field sonde was relatively clean having been out for 2 months, pipe was secure to the wall so I didn't install another holding band or anything as I mentioned during our December visit, i hooked up the calibrated sonde to the safety cable to deploy it autonomously and preceded to try and take up the flying lead cable from the data logger which was wedged in the joint of the concrete wall, to work the datalogger cable out the calibrated sonde was not yet deployed in the pipe because we needed to work the safety cable and the datalogger cable to try and get them out of the joint, this was rather difficult and took around 30mins, we managed to find a piece of cement that was keeping the cables from coming out and chizzled that away to get them free, the calibrated sonde was then put in the pipe and deployed autonomously with the safety cable attached (likely around 12:30), Cody pulled up the data cable and we wrapped up everything on the lower platform, He didn't mention any note worthy occurences with the torch or collecting grabe samples, on the wall level we took the whole datalogger and solar set up by unthreading it from the extension pipe and adaptor, Cody carried the whole assembly back on our second trip, Cody present / later fixed the DST start on 3/10 @ 2am on GD_D17 by deleting cells with time and date through the 1hr of 2am to 3am and shifted cells up  "
6/12/19,11:00:00 AM,Greenup,Switch out sonde 1 to 2,2,1:45,GD_D19,,"All probes calibrated 6/11, upon arrival we began reinstalling the data logger, Cody and I go that back on the adapter and started on the solar panel, which we slid all the way down and had it angled but resting on the concrete as the final product, would've like to added an L bracket to hold it or some rubber where it rests on the ground but it should suffice, we then put the battery box down with one tapcon in the middle, then mounted the camera and wired everything, Cody began using my computer to view and adjust the camera angle, i finished up the reinstallment and sent the sonde field cable down, then i went down and setup the calibrated sonde to drift check the field sonde, had to wait on cody to get done with my computer then i did the drift check at 1:27, worked on setting up the deployment on the calibrated sonde while cody removed the field sonde and cleaned the pipe, i then unhooked the field sonde and got the copper gaurd to put on the calibrated sonde and got it all ready to deploy, the field sonde was fairly dirty but no obstructions or debris in the field of optics, calibrated sonde was all hooked up and deployed, went going up to look at the data logger the red led was flashing, couldve been taking a reading as it was about that time, i unhooked the battery extension wire in the iSIC box and actually pulled one of the wires out of the crimp on connector which i had to fix and put a new connector on, once that was done and reconnected the led flashed every 10seconds as normal, we loaded everything up on the cart and had to walk the long way back, Kourtnie mentioned no isssue getting water samples or anything, Cody and Kourtnie present"
7/11/19,11:00:00 AM,Greenup,Switch out sonde 2 to 5,5,11:57,GD_D20,,"Turbidity and pH probes calibrated 7/1/19 and been sitting on the shelf capped with some DI and in pH 4 solution respectively, all other probes calibrated 7/9 along with transect 7/10 probes, first time using sonde 5 as it was one of the ones Mindys lab had before, arrived at the site shortly after 11:00 and the enterance gate was open, got to the bullnose just before 11:25ish but missed the 11:27 drift check, it began to rain and had to put the computer and backpack under an umbrella, drift check was done at 11:42 then i preceded to set up the deployment on the calibrated sonde after removing the field sonde which was very dirty and muddy, top was extremely muddy and there was some algae growth on the blue body, Cody cleaned the pipe, deployment was set to start at 11:57, everything was swtiched onto the calibrated sonde such as the guard and cables then it was put back in the pipe, field sonde was then hooked to the computer and the depoloyment was stopped and file transferred right after the 11:57 reading, everything was packed up and checked the datalogger on the way to make sure LED on the DCP adaptor was blinking every 10sec which it was, cleaned of the solar panel before leaving, Cody didn't mention anything important for his sampling, Cody present  "
8/8/19,10:45:00 AM,Greenup,Switch out sonde 5 to 1,1,11:27,GD_D21,,"All probes calibrated a few days before on 8/5 except O2 depth and wiper which were done on 8/7, arriving at the site the water was extremely calm and clear, construction going on as it had been near the office, waited on a barge to lock through headed upstream so we could cross, got to the platform and missed the 10:45 sample, dirft check was done at 10:57, then removed the field sonde which was very dirty and biofouled up, the optics looked clean but the body of the sonde was slimmy and muddy, ALSO THERE WAS A CRAWFISH IN THE BOTTOM OF THE SONDE GUARD which cody took with him to put in the tank in the lab, i cleaned off the field sonde and even took te brush to it while in the water, unhooked it and prepped the calibrated sonde for deployment, set the first sample for 11:27 as it was just about to pass the 11:12 sample at this time, proceeded to hook up the calibrated sonde for deployment, decided not to use the new copper sonde guard as i didn't have any tape or anything to make the openings smaller as i had done on the field sonde guard so i reused it as usual, put the sonde in the pipe and finished everything up, Cody and i then got some measurements for the SUNA mount, he worked on getting his grab samples and refreshing the game camera for barges, he did mention the torch reading for chlorophyll which was nearly 2x the amount the sonde was reporting, he didn't describe any problems, rinsed off the solar panel with DI and check the data logger which all seemed fine upon leaving, there was a barge pulling into the locks as we were leaving which we waited on, Cody present "
9/5/19,12:45:00 PM,Greenup,Switch out sonde 1 to 5,5,1:15,GD_D22,,"All probes calibrated 9/3 except conductivity which was done 8/22 with USC but has had no deployments, arrived around 12:00 but had to wait quite awhile to get the gate to the bullnose unlocked, finally got to the platform around 12:45 but missed that DC so it was done at 12:57, then i removed the field sonde which was rather dirty and covered in a grit like material kind of like fine asphalt rocks, it also had 1 small crawfish in it, i cleaned it up the best i could and slit my finger on the eyelet of the safety cable as it has rusted anyway for the most part and left a sharp half, I unhooked it all and proceeded to clean the pipe which was extremely dirty and pretty biofouled up with green algae, when cleaning the inside the brush managed to go all the way through after hitting the stop a few times so i figure it had broke or fell out, I decided to go back to the truck and get my tool box to remove the pipe, I did so by simply loosening up the tapcons enough that i could slide the pipe up to where i could work on the bottom, The bolt passing through and worn away to nearly half its original size and come out of one side, I used the safety dog bone of one of the field cables in the sonde box to make a stop at the end of the pipe by putting it through one of the big holes above the orginal location in the pipe and ziptied it in using 6 zipties, it seemed sufficient enough to do until 2 weeks from now, i slide the pipe back down to its original location however i didn't think about the fact that the new stop is about 2"" higher than the orginal bolt that went through, tightened down all the clamps which need replaced or a big washer over the tapcon as the have all bent from where the bolt goes in, put in the calibrated sonde and started the deployment around 13:57 i believe but am now unsure, Cody didn't mention any problems on his behalf, washed off the solar panel and checked the data logger before leaving, Cody present, the drift check poses some interesting questions as to why the oxygen has been off lately and i can't think of a reason, however the chlorophyll reading being so high on the calibrated sonde is questionable as the torch was only reading 3 or so micrograms/L which aligned better with the field sonde, calibrated sonde could have scraped the wall can got more chlorophyll on it as a result or something"
9/19/19,8:00:00 AM,Greenup,Mount SUNA and switch sonde 5 to 2 due to Phycocianin negatives,2,1:00,GD_D23,,"All probes calibrated 9/17 except conductivity which was done 8/22 with USC but has had no deployments, Suna referrence spectrum was also updated 9/17 with less than %5 difference, arrived at the site at 8:30 and waited on gate to close and talked with some USACE higher ups that were visiting the site, got out to the bullnose platform and began mounting suna by starting with the dam side mount, due to water level we could only use the top 2 holes for wedge anchors but drilled 2x 1/4"" holes between them to add 2 tapcons between them, messed up the first 2 wedge anchors by them spinning so had to move over just a bit toward the dam, got the anchors in and tapcons then preceded to mark the lock side mount by installing the whole thing, we realized we really didn't get the dam side mount vertical but envisioned it would be fine, started the other lock side mounting holes by first tapconing it and then predrilling the wedge anchor holes, got this mount all installed but the bottom wedge anchor was at a slight angle as the water level began to rise, it also started spinning after installed but was tight, we then lowered the assembly and installed the pivot bolts with grease, we swung it up and installed the chain to the cage and tapconed in the center link to the platform between the mounts, upon swinging it down into place the holding pins didn't line up so Logan drilled and filed the lock side one while in began wiring up everything for the data logger, we completed everything and checked its operation with the data logger showed new data at 12:30 when i used my hotspot to interogate it, after the Suna install i preceded to drift check and change out the sonde due to the negative BGA readings we had been getting, drift checked at 12:57, it was very dirty with mud and growth upon removal, i cleaned it up and asked Logan to clean the pipe while i set the deployment on the new sonde, time was updated on it and the deployment was all set up for 1:12 if i'm not mistaken, sonde was deployed and we began wrapping everything up, I couldn't changed out the pin in the sonde pipe because the hammer drill was dead SO REMEMBER TO DO THAT NEXT VISIT, i also drilled a hole up higher on the dam side mount of the SUNA to install the retaining pin since we got it so off axis that the pin wouldn't reach all the way through, tools were packed up and the cable ziptied up to the data logger for the SUNA, got to the truck shortly after 2:30, Logan present "
9/19/18,10:30:00 AM,RCB,Switch out sonde 1 to 3 ,3,11:15,RCB_D13,1.08,"Water was turbid and site was muddy, drift check was done at 10:57, there was a relatively large flathead catfish in the bottom of the sonde guard, I don't even know how it could have wiggled in there, the depth on the tape measure was 1.08m as per Cody's conversion, calibrated sonde was calibrated in the pipe at this depth, it was all cleaned as usual, and new deployment was set and calibrated sonde was deployed by 11:27, Cody had gotten grab samples and torch reading in the meantime, he mentioned the torch didn't give chlorophyll readings which Logan had always given me so i'm not sure what the deal is and haven't looked into it, after everything was finished up Cody cleaned off the site with the shovel removing the mud, when getting everything together I noticed the PAR sensor looked dirty so i rinsed it off with my water bottle, i didn't have any DI, now the PAR readings are way off so i must have done something to it by putting water on it and blowing it off, i will look more into this, Cody present"
10/24/18,12:30:00 PM,RCB,Switch out sonde 3 to 2 ,2,1:15,RCB_D14,1.04,"Water was fairly turbid but normal level, drfit check was done at 12:57, there were no real note worth occurences with changing out the sonde, everything went smooth, there were no fish or anything, platform was not muddy, after switching out the sonde I inspected the PAR sensor, i simply unhooked everything and took the sensor off the base, cleaned it with DI and reinstalled all the wiring and it appears to be working now, no other changes or precautions were taken and it appears to work fine, we left for the hatchery after, Cody present "
11/14/18,12:30:00 PM,RCB,Switch out sonde 2 to 1,1,1:15,RCB_D15,0.94,"All probes calibrated 11/13/18 however pH had a ! QC score as this will probably be its last deployment, also turbidity was done on 11/9 before field day on fourpole with Ciara although it was not used that day, it also had a ! Mark but I never usually calibrate 1010 / weather was cold and windy, water looked fairly normal not real turbid, missed the 12:27 DC but was done at 12:42, nothing was in the sonde guard and the field sonde was suprisingly clean but it had only been out 3 weeks instead of 4, pipe was cleaned, calibrated sonde put in and calibrated for 0.94m depth, then the deployment was set up starting at 1:12, sonde guard changed out and calibrated sonde hooked up and deployed, no real note worthy events, Cody got the torch reading and grab samples, he did have to get the grab samples from across the water since he couldn't reach it where we were, we left shortly after 1:00, Cody present "
